Description,Synonyms
celiac disease,"['coeliac sprue', 'sprue - nontropical', 'gluten sensitive enteropathy', 'nontropical sprue', 'herter-gee', 'gluten enteropathy (diagnosis)', 'enteropathy, gluten', 'sprue, nontropical', 'cd - coeliac disease', 'cd', 'wheat-sensitive enteropathy', 'celiac disease', 'huebner-herter disease', 'non-tropical sprue', 'celiac idiopathic steatorrhea', 'gluten-sensitive enteropathies', 'gluten-sensitive enteropathy', 'celiac idiopathic steatorrhea (diagnosis)', 'nontropical; sprue', 'gee-herter disease', 'celiac disease (disorder)', 'celiac diseases', 'idiopathic steatorrhoea', 'enteropathy; gluten-sensitive', 'sprue; nontropical', 'celiac sprue', 'enteropathy, gluten-sensitive', 'gluten-induced enteropathy syndrome', 'gluten-induced enteropathy', 'celiac', 'idiopathic steatorrhea', 'enteropathies, gluten', 'gse - gluten-sensitive enteropathy', 'gluten enteropathies', 'sprue, celiac', 'gluten enteropathy', 'non tropical sprue', 'gee - herter disease', 'idiopathic; steatorrhea', 'celiac syndrome', 'steatorrhea; idiopathic', 'coeliac syndrome', 'celiac sprues', 'gse - gluten-sens enteropathy', 'celiac disease nos', 'coeliac disease nos', 'gluten-responsive sprue', 'thaysen', 'coeliac disease [ambiguous]', 'gee', 'gee disease', 'heubner-herter', 'cd - celiac disease', 'steatorrhoea - idiopathic', 'celiac dis', 'gluten-induced enteropathy syn', 'celiac disease [disease/finding]', 'disease;coeliac', 'disease, celiac', 'celiac disease nos (disorder)', 'enteropathies, gluten-sensitive', 'coeliac disease (disorder)', 'cs - coeliac sprue', 'sprue', 'cs - celiac sprue', 'coeliac disease', 'heubner-herter disease', 'intolerance;gluten', 'gse', 'celiac disease (diagnosis)', 'gluten-sensitive; enteropathy', 'sprues', 'steatorrhea - idiopathic', 'disease;celiac', 'gluten intolerance']"
myeloperoxidase measurement,"['mpo', 'myeloperoxidase', 'myeloperoxidase measurement']"
Eye color traits,[]
hippocampal atrophy,[]
Epirubicin-induced leukopenia,[]
periodontitis,"['periodontitis nos', 'periodontitis [disease/finding]', 'periodontitides', 'parodontitis', 'periodontitis, nos', 'periodontitis (disorder)', 'periodontitis', 'periodontitis (diagnosis)']"
Cardiovascular disease risk factors,[]
Alzheimer's disease,"[""alzheimer's disease pathway kegg"", ""alzheimer's disease"", 'primary; degenerative, dementia', 'alzheimer type dementia (atd)', 'alzheimer diseases', 'primary degenerative dementia', 'alzheimers dis', ""dementia of alzheimer's type (diagnosis)"", 'alzheimers dementia', 'dementia of the alzheimer type', 'sclerosis, alzheimer', 'sclerosis; alzheimer', 'dementia, alzheimer (ad)', 'alzheimer dementia (ad)', 'disease, alzheimer', ""dementia in alzheimer's disease, unspecified"", 'primary senile degenerative dementia', 'senile dementia of the alzheimer type (sdat)', 'ad', ""alzheimer's diseases"", ""alzheimer's disease, unspecified"", ""alzheimer's disease (disorder)"", ""alzheimer's disease unspec"", 'alzheimer disease', 'dementia primary degenerative', 'syndrome, alzheimer', 'alzheimer; dementia (manifestation)', ""dementia in alzheimer's dis"", 'alzheimer-type dementia (atd)', 'dementia of the alzheimer type (dat)', ""disease, alzheimer's"", 'alzheimer-type dementia', ""alzheimer's disease, nos"", 'dementia; alzheimer (manifestation)', ""dementia alzheimer's type"", ""ad - alzheimer's disease"", 'alzheimer syndrome', ""dementia of the alzheimer's type nos"", 'simple senile dementia', ""alzheimer's disease"", 'dementia, primary senile degenerative', 'alzheimer dis', ""dementia of alzheimer's type"", 'dementia; alzheimer (etiology)', ""[x]dementia in alzheimer's"", 'senile dementia, alzheimer type', ""dementia in alzheimer's disease"", 'alzheimer disease (ad)', 'alzheimer-type dementia (adt)', ""[x]dementia in alzheimer's disease (disorder)"", 'dat', 'dementia alzheimers', 'alzheimer', 'dats', ""[x]dementia in alzheimer's disease"", 'alzheimer sclerosis', 'alzheimer type senile dementia', 'alzheimer disease [disease/finding]', 'senile dementia', 'disease;alzheimers', 'dementia; primary degenerative', 'dementia of alzheimers type', 'alzheimer dementia', 'alzheimers disease', 'alzheimer type dementia', ""[x]dementia in alzheimer's disease, unspecified (disorder)"", 'dat - dementia alzheimer type', ""dementia in alzheimer's"", 'dementia, alzheimer-type (atd)', 'alzheimer; dementia (etiology)', ""[x]dementia in alzheimer's disease, unspecified"", 'dementia, alzheimer type', 'dementia, senile', 'sdat', 'dementia alzheimer', ""alzheimer's dementia (diagnosis)"", ""dat - dementia alzheimer's type"", 'alzheimer; sclerosis', ""alzheimer's dementia"", ""[x]alzheimer's disease unspec"", ""dementia of the alzheimer's type"", 'senile dementia of the alzheimer type']"
congenital heart malformation,[]
Moyamoya disease,"['disease (or disorder); moyamoya', 'spontaneous occlusion of the circle of willis', 'progressive intracranial arterial occlusion', 'moyamoya', 'progressive intracranial arterial occlusion syndrome', 'progressive intracranial arterial occlusion (disorder)', 'moya-moya disease', 'moyamoya disease', 'cerebrovascular moyamoya dis', 'moyamoya syndrome', 'moyamoya disease (diagnosis)', 'moyamoya dis', 'moya moya dis', 'disease, moya-moya', 'moya disease', 'moyamoya disease (disorder)', 'moyamoya disease [disease/finding]', 'moyamoya; disease', 'disease moya moya', 'disease moyamoya', 'moya moya disease', 'cerebrovascular moyamoya disease', 'progressive intracranial occlusive arteropathy (moyamoya)', 'mymy1', 'moyamoya disease 1', 'moyamoya disease', 'mymy', 'spontaneous occlusion of the circle of willis']"
entorhinal cortical volume,[]
Sagittal craniosynostosis,"['interparietal craniosynostosis (disorder)', 'interparietal craniosynostosis', 'sagittal craniosynostosis']"
Stearic acid (18:0) plasma levels,[]
White blood cell count,"['white blood cell number - finding', 'white blood cell count', 'finding of white blood cell number', 'wbc - white blood cell count', 'wcc - white blood cell count', 'white blood cell count result', 'white blood cell number', 'white blood cell count laboratory result', 'finding of white blood cell number (finding)', 'white blood cell count nos', 'leukocyte count', 'wbc count', 'whole blood leukocyte counts', 'numbers, leukocyte', 'number, leukocyte', 'leukocyte counts', 'white blood cell count (procedure)', 'leukocytes', 'leukocyte numbers', 'leukocyte count nos', 'count, leukocyte', 'white blood cell analysis', 'white blood cell count', 'leucocyte count', 'leukocyte count (lab test)', 'white cells', 'wcc - white blood cell count', 'white blood cell count - observation', 'white blood cell count procedure', 'white blood cells', 'leukocyte number', 'wbc - white blood cell count', 'counts, leukocyte', 'wbc', 'blood cell count, white']"
bipolar disorder,"['manic depressive illness', 'bipolar affective disorder, unspecified', 'unspecified bipolar affective disorder (disorder)', 'psychosis, manic depressive', 'manic-depressive reaction nos', 'manic depressive reaction', 'unspecified bipolar affective disorder', 'bipolar disorder, nos', 'disorder; bipolar, affective', 'bipolar affective disorder', 'unspecified bipolar disorder', 'bipolar disorders', 'manic-depressive illness', 'disorder;bipolar', 'psychosis, manic-depressive', 'unspecified bipolar affective disorder, nos (disorder)', 'bipolar; disorder, affective', 'bipolar dis', 'psychoses, manic depressive', 'bipolar disorder [disease/finding]', 'depressive-manic psych.', 'bipolar disorder (disorder)', 'unspecified bipolar disorder (diagnosis)', 'unspecified bipolar affective disorder, unspecified (disorder)', 'bipolar disorder', 'bipolar mood disorder', 'unspecified bipolar affective disorder, unspecified', 'psychosis, bipolar affective', 'manic depressive disorder', 'affective bipolar disorders', 'psychoses, bipolar affective', 'bipolar disorder, unspecified', 'manic depressions', 'bipolar affectve dis unsp', 'bipolar affective psychosis', '[x]bipolar affective disorder, unspecified', '9-51 bipolar disorders', 'manic-depressive; syndrome', 'unspecif.bipolar affective nos', 'manic-depressive disorders', 'manic-depressive; disorder', 'affective bipolar disorder', 'psychosis;manic depressive', 'bipolar illness', 'reaction manic-depressive', 'bipolar disorder not otherwise specified', 'bipolar disorder nos', 'bi-polar disorder', 'manic-depress.psychoses', 'disorder, bipolar', 'psychosis; manic-depressive', 'manic depression', 'manic depressive psychosis', '[x]bipolar affectve dis unsp', 'unspec bipolar affect disord', 'mdi - manic-depressive illness', 'manic-depression', 'manic-depressive reaction', 'affective psychosis, bipolar', 'depression;manic', 'unspecified bipolar affective disorder, nos', 'manic-depressive psychoses', 'psychoses, manic-depressive', 'psychosis manic-depressive', 'syndrome; manic-depressive', 'bipolar; disorder', 'unspecified bipolar affective', 'manic-depressive syndrome nos', 'manic-depressive psychosis', 'disorder; bipolar', 'manic-depressive; psychosis', 'manic depressive', '[x]bipolar affective disorder, unspecified (disorder)']"
autoantibody measurement,"['autoantibody level', 'autoantibody test', 'autoantibody measurement', 'autoantibodies test', 'autoantibody measurement (procedure)', 'autoantibody level (procedure)']"
Venous thromboembolism,"['venous thromboembolism', 'thrombophilia due to factor 2 defect', 'thrombosis, protection against', 'thrombophilia due to thrombin defect', 'thph1', 'venous thrombosis', 'venous thromboembolism', 'thromboembolism, venous', 'venous thromboembolism [disease/finding]']"
Wrist bone mass,[]
isolated scaphocephaly,[]
Adverse response to radiation therapy,[]
ovarian carcinoma,"['carcinoma, ovarian epithelial', 'ovarian epithelial cancer nos', 'carcinoma, ovarian', 'carcinoma of ovary', 'ovarian epithelial cancer', 'ovarian cancer epithelial', 'carcinoma ovarian', 'carcinoma of the ovary', 'epithelial ovarian carcinoma', 'ovarian cancer, epithelial', 'cancer epithelial ovarian', 'ovarian epithelial carcinoma', 'ovarian carcinoma', 'epithelial ovarian cancer', 'ovarian ca', 'cancer of the ovary', 'carcinoma ovaries', 'cancer ovarian', 'cancer ovaries', 'ca ovarian', 'ovary cancer', 'carcinoma ovarian', 'malignant ovaries tumor', 'cancer of ovary', 'ovarian cancers', 'ovary carcinoma', 'ovarian cancer', 'cancer ovary', 'cancers ovarian', 'carcinoma of ovary (diagnosis)', 'ovarian carcinoma', 'ovarian carcinomas', 'carcinoma ovary', 'carcinoma of ovary']"
non-small cell lung carcinoma,"['non-small cell lung cancer, nos', 'non-oat cell lung cancer', 'carcinoma, non-small cell lung', 'carcinomas, non-small-cell lung', 'nsclc - non-small cell lung cancer', 'non-small cell lung cancer', 'carcinoma, non-small-cell lung', 'cancer cells lung non small', 'non-small cell carcinoma of the lung', 'cancer cell lung non small', 'carcinoma, non small cell lung', 'non-small cell cancer of lung', 'lung cancer non small cell', 'nsclc', 'non-small cell lung carcinoma', 'cancer cell lung non-small', 'small non cell lung cancer', 'nonsmall cell lung cancer', 'carcinoma cell lung non-small', 'non-small-cell lung carcinomas', 'non small cell lung cancer', 'carcinoma, non-small-cell lung [disease/finding]', 'lung carcinomas, non-small-cell', 'non-small-cell lung carcinoma', 'nonsmall cell lung carcinoma', 'non small cell lung cancer nos', 'lung cancer non-small cell', 'lung cancer, non-small cell', 'nsclc - non-small cell lng can', 'non-small cell carcinoma of lung', 'non-small cell carcinoma of lung (diagnosis)', 'lung carcinoma non small cell', 'non-small cell cancer of the lung', 'non-small cell lung cancer (disorder)', 'lung carcinoma, non-small-cell', 'lung cancer, nonsmall cell', 'carcinoma cell lung non small', 'non-small cell lung cancer nos', 'non small cell lung carcinoma']"
Bitter taste response,[]
Intracranial aneurysm,"['aneurysms, intracranial', 'aneurysm, intracranial', 'intracranial aneurysms', 'intracranial aneurysm [disease/finding]', 'aneurysms intracranial', 'intracranial aneurysm, nos', 'intracranial aneurysm', 'cranial aneurysm', 'intracranial aneurysm (disorder)', 'aneurysm intracranial']"
respiratory quotient,"['r=v>co^2^</v>o^2^<', 'quotient respiratory', 'r=v<sub>co<sup>2</sup></sub>/v<sub>o<sup>2</sup></sub>', 'r\xc3\x9cv co2/v o2', 'ruv co2/v o2', 'rq - respiratory quotient', 'ruv>co^2^</v>o^2^<', 'respiratory quotient (r=vco2/vo2)', 'respiratory quotient', 'r\xc3\x9cv<sub>co<sup>2</sup></sub>/v<sub>o<sup>2</sup></sub>', 'r=v co2/v o2', 'rer - respiratory exchange ratio', 'exchange ratio rer respiratory', 'respiratory exchange ratio', 'r\xc3\x9cv>co^2^</v>o^2^<', 'respiratory quotient (observable entity)', 'rer-respiratory exchange ratio']"
malaria,"['vaccines, malarial', 'vaccine malaria', 'vaccines, malaria', 'malaria', 'malarial vaccines', 'malaria vaccines', 'malaria vaccine', 'vaccines malaria', 'malaria vaccines [chemical/ingredient]', 'malarial vaccine', 'malaria pathway', 'malaria', 'plasmodium infection pathway', 'plasmodium sp. infection pathway', 'corsican fever', 'corsican; fever', 'paludal; fever', 'fever; cameroon', '[x]unspecified malaria', 'fever, marsh', 'malaria fever nos', 'malaria nos', 'plasmodiosis', 'fever; jungle fever', 'diseases due to plasmodiidae', 'fever malaria', 'malarial fever', 'infection, plasmodium', 'malaria [disease/finding]', 'malaria (diagnosis)', 'plasmodium infect', 'infect plasmodium', 'e-540 diseases due to plasmodiidae', 'malaria, nos', 'malaria', 'jungle fever; fever', 'plasmodia infections', 'paludism', '[x]unspecified malaria (disorder)', 'malaria, unspecified', 'cameroon; fever', 'cameroon fever', 'disease due to plasmodiidae', 'malaria (disorder)', 'plasmodium infections', 'remittent fever', 'malarial fever (finding)', 'fever; corsican', 'unspecified malaria (disorder)', 'marsh fever', 'fever; jungle', 'infections, plasmodium', 'disease due to plasmodiidae (disorder)', 'jungle; fever', 'fever, remittent', 'fever; paludal', 'malaria fever', 'unspecified malaria', 'malarias', 'plasmodium infection']"
Homocysteine levels,"['homocysteine level', 'homocysteine levels']"
Calcium levels,"['assay of calcium', 'measurement of calcium', 'calcium; total', 'calcium level', 'calcium levels', 'ca', 'calcium measurement', 'calcium measurement, nos', 'calcium measurements', 'calcium', 'total calcium test', 'calcium total', 'ca++', 'calcium total each test', 'ca tot ea.tst', 'calcium level test', 'calcium measurement (procedure)', 'calcium level', 'calcium level result', 'calcium levels']"
complement C3 measurement,"['c3', 'complement c3 measurement', 'complement c3']"
Immune reponse to smallpox (secreted TNF-alpha),[]
vitiligo,"['systemic lupus erythematosus, vitiligo-related', 'vitiligo-associated multiple autoimmune disease susceptibility 1 (finding)', 'vtlg', 'vamas1', 'vitiligo', 'vitiligo-associated multiple autoimmune disease susceptibility 1', 'slev1', 'vitiligo [disease/finding]', 'vitiligo (disorder)', 'vitiligo', 'vitiligo (physical finding)']"
abdominal aortic aneurysm,"['ever diagnosed by a doctor as having an abdominal aortic aneurysm', 'ever diagnosed by a doctor as having an abdominal aortic aneurysm:finding:point in time:^patient:nominal', 'ever diagnosed by a doctor as having an abdominal aortic aneurysm:find:pt:^patient:nom', 'abdominal aortic aneurysm', 'ever diagnosed by a doctor as having an abdominal aortic aneurysm:finding:point in time:^patient:ordinal', 'aaa-abdominal aortic aneurysm', 'aortic aneurysm, abdominal', 'aorta abdominal aneurysm', 'aneurysm; abdominal aorta', 'aorta abdominalis; aneurysm', 'aneurysm abdominal', 'aneurysm of abdominal aorta (diagnosis)', 'aaa (abdominal aortic aneurysm)', 'aneurysm, aorta, abdominal', 'aneurysm;abdominal aortic', 'aneurysms, abdominal aortic', 'abdominal aortic aneurysms', 'abdominal; aneurysm', 'abdominal aneurysm', 'abdominal aorta aneurysm', 'aneurysm, abdominal aortic', 'abdominal aneurysms', 'abdominal aortic aneurysm', 'aaa (abdominal aorta aneurysm)', 'abdominal aortic aneurysm (disorder)', 'aaa - abdominal aortic aneurysm', 'aaa', 'aneurysm; abdominal', 'aortic aneurysm, abdominal [disease/finding]', 'aortic aneurysms, abdominal', 'abdominal aortic aneurysm (aaa)', 'aneurysm of abdominal aorta']"
